,cou,date,confirmed,deaths,recovered,totalscore,readingscore,mathscore,sciencescore,cca2,TRY,UPPSRY,BUPPSRY,total population,life expectency both,urban population %,population density,Medical graduates,Dentists graduates,Pharmacists graduates,Midwives graduates,Nursing graduates,Hospitals,General hospitals,Total hospital beds,Beds in publicly owned hospitals,Practising physicians,Generalist medical practitioners,medical group of specialists,Surgical group of specialists,Practising midwives,Practising nurses,"Professional nurses, practising","Associate Professional nurses, practising",Practising pharmacists,Specialist medical practitioners,age,sum,mean,variance,count,snwd,prcp,tmax,tmin
55,DEU,2020-02-02,10,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,0-14,535.4,89.23333000000001,27.34667,6,0.0,122.0,102.5,61.5
56,DEU,2020-02-02,10,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,15,56762.2,242.5735,55430.44,234,0.0,122.0,102.5,61.5
57,DEU,2020-02-02,10,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,16,7510.2,43.9193,1560.493,171,0.0,122.0,102.5,61.5
58,DEU,2020-02-02,10,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,45,912.5,11.26543,36.186040000000006,81,0.0,122.0,102.5,61.5
59,DEU,2020-02-02,10,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,65,1615.8,67.325,603.3454,24,0.0,122.0,102.5,61.5
60,DEU,2020-02-03,12,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,0-14,535.4,89.23333000000001,27.34667,6,0.0,103.0,108.5,54.5
61,DEU,2020-02-03,12,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,15,56762.2,242.5735,55430.44,234,0.0,103.0,108.5,54.5
62,DEU,2020-02-03,12,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,16,7510.2,43.9193,1560.493,171,0.0,103.0,108.5,54.5
63,DEU,2020-02-03,12,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,45,912.5,11.26543,36.186040000000006,81,0.0,103.0,108.5,54.5
64,DEU,2020-02-03,12,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,65,1615.8,67.325,603.3454,24,0.0,103.0,108.5,54.5
65,DEU,2020-02-04,12,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,0-14,535.4,89.23333000000001,27.34667,6,0.0,13.0,98.0,22.5
66,DEU,2020-02-04,12,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,15,56762.2,242.5735,55430.44,234,0.0,13.0,98.0,22.5
